Cell size (um),Order,DOF,Mesh elements,Solve time,Peak RAM (MB)
5,1,60271,45074,0m 26s,2496.625
5,2,311536,45074,4m 3s,4464.42578125
2,1,164249,120688,1m 17s,5973.6875
2,2,843390,120688,11m 18s,11284.98828125
1,1,328043,236525,2m 24s,10283.66015625
1,2,1672974,236525,27m 5s,24751.18359375
