Param,Comparison,Max|dS| (linear),|dS_dB| at 1GHz,|dS_dB| at 25GHz,|dS_dB| at 50GHz
Sdd11,5 um (uniform) -> 2 um (uniform),0.1240,0.0004,0.7930,0.4517
Sdd11,2 um (uniform) -> 1 um (uniform),0.0322,0.0001,0.1758,0.1148
Sdd11,"1 um (uniform) -> AMR (5 um start, 2 it.)",0.0149,0.0004,0.0755,0.0623
Sdd21,5 um (uniform) -> 2 um (uniform),0.0589,0.0144,0.1864,0.4041
Sdd21,2 um (uniform) -> 1 um (uniform),0.0153,0.0008,0.0456,0.0967
Sdd21,"1 um (uniform) -> AMR (5 um start, 2 it.)",0.0076,0.0049,0.0123,0.0541
Sdd22,5 um (uniform) -> 2 um (uniform),0.0560,0.0004,0.7010,0.3028
Sdd22,2 um (uniform) -> 1 um (uniform),0.0134,0.0000,0.1556,0.0711
Sdd22,"1 um (uniform) -> AMR (5 um start, 2 it.)",0.0061,0.0002,0.0604,0.0559
