Param,Mesh,|dS| (linear),|dS_dB| at 1GHz
S11,"0.2 um, order 2",0.000785,0.0001
S11,"0.1 um, order 2",0.000249,0.0000
S21,"0.2 um, order 2",0.000774,0.4289
S21,"0.1 um, order 2",0.000245,0.1383
S22,"0.2 um, order 2",0.000784,0.0001
S22,"0.1 um, order 2",0.000249,0.0000
